Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
,,,,,,,,
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
,,,,,,,,
289,134,0,195,6,924,760,28,46.24
,,,,,,,,
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
,,,,,,,,
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
,,,,,,,,
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
,,,,,,,,
387,20,94,157,13.9,938,845,28,46.68
,,,,,,,,
387,20,94,157,11.6,938,845,28,46.68
,,,,,,,,
425,106.3,0,151.4,18.6,936,803.7,7,46.8
,,,,,,,,
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
,,,,,,,,
190,190,0,228,0,932,670,180,46.93
,,,,,,,,
266,114,0,228,0,932,670,90,47.03
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.1
,,,,,,,,
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
,,,,,,,,
500,0,0,200,0,1125,613,90,47.22
,,,,,,,,
333,17.5,163,167,17.9,996,652,28,47.28
,,,,,,,,
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
,,,,,,,,
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
,,,,,,,,
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
,,,,,,,,
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
,,,,,,,,
236,157,0,192,0,972.6,749.1,90,47.78
,,,,,,,,
304,76,0,228,0,932,670,28,47.81
,,,,,,,,
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
,,,,,,,,
387,20,94,157,13.9,938,845,56,47.97
,,,,,,,,
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
,,,,,,,,
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
,,,,,,,,
525,0,0,189,0,1125,613,14,48.4
,,,,,,,,
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
,,,,,,,,
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
,,,,,,,,
266,114,0,228,0,932,670,180,48.7
,,,,,,,,
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
,,,,,,,,
393,0,0,192,0,940,758,90,48.79
,,,,,,,,
393,0,0,192,0,940.6,785.6,90,48.85
,,,,,,,,
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
,,,,,,,,
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
,,,,,,,,
304,76,0,228,0,932,670,90,49.19
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
,,,,,,,,
200,200,0,190,0,1145,660,28,49.25
,,,,,,,,
260,101,78,171,10,936,763,28,49.77
,,,,,,,,
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
,,,,,,,,
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
,,,,,,,,
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
,,,,,,,,
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
,,,,,,,,
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
,,,,,,,,
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
,,,,,,,,
387,20,94,157,14.3,938,845,28,50.24
,,,,,,,,
342,38,0,228,0,932,670,90,50.46
,,,,,,,,
522,0,0,146,0,896,896,7,50.51
,,,,,,,,
288,192,0,192,0,932,717.8,90,50.53
,,,,,,,,
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
,,,,,,,,
190,190,0,228,0,932,670,270,50.66
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
,,,,,,,,
192,288,0,192,0,929.8,716.1,90,50.73
,,,,,,,,
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
,,,,,,,,
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
,,,,,,,,
304,76,0,228,0,932,670,180,50.95
,,,,,,,,
520,0,0,175,5.2,870,805,28,51.02
,,,,,,,,
446,24,79,162,11.6,967,712,28,51.02
,,,,,,,,
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
,,,,,,,,
500,0,0,200,0,1125,613,180,51.04
,,,,,,,,
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
,,,,,,,,
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
,,,,,,,,
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
,,,,,,,,
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
,,,,,,,,
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
,,,,,,,,
266,114,0,228,0,932,670,270,51.73
,,,,,,,,
203.5,305.3,0,203.5,0,963.4,630,90,51.86
,,,,,,,,
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
,,,,,,,,
446,24,79,162,11.6,967,712,7,52.01
,,,,,,,,
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
,,,,,,,,
342,38,0,228,0,932,670,180,52.12
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.2
,,,,,,,,
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
,,,,,,,,
405,0,0,175,0,1120,695,28,52.3
,,,,,,,,
322,149,0,186,8,951,709,28,52.42
,,,,,,,,
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
,,,,,,,,
313,161,0,178,10,917,759,28,52.44
,,,,,,,,
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
,,,,,,,,
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
,,,,,,,,
380,0,0,228,0,932,670,365,52.52
,,,,,,,,
540,0,0,173,0,1125,613,7,52.61
,,,,,,,,
280,129,100,172,9,825,805,28,52.82
,,,,,,,,
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
,,,,,,,,
380,0,0,228,0,932,670,90,52.91
,,,,,,,,
266,114,0,228,0,932,670,365,52.91
,,,,,,,,
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
,,,,,,,,
380,0,0,228,0,932,670,180,53.1
,,,,,,,,
380,0,0,228,0,932,670,270,53.3
,,,,,,,,
446,24,79,162,10.3,967,712,28,53.39
,,,,,,,,
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
,,,,,,,,
298,137,107,201,6,878,655,28,53.52
,,,,,,,,
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
,,,,,,,,
285,190,0,163,7.6,1031,685,28,53.58
,,,,,,,,
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
,,,,,,,,
190,190,0,228,0,932,670,365,53.69
,,,,,,,,
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
,,,,,,,,
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
,,,,,,,,
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
,,,,,,,,
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
,,,,,,,,
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
,,,,,,,,
480,0,0,192,0,936,721,90,54.28
,,,,,,,,
480,0,0,192,0,936.2,712.2,90,54.32
,,,,,,,,
304,76,0,228,0,932,670,270,54.38
,,,,,,,,
305.3,203.5,0,203.5,0,965.4,631,90,54.6
,,,,,,,,
446,24,79,162,10.3,967,712,56,54.77
,,,,,,,,
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
,,,,,,,,
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
,,,,,,,,
342,38,0,228,0,932,670,270,55.06
,,,,,,,,
500,0,0,200,0,1125,613,270,55.16
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
,,,,,,,,
446,24,79,162,11.6,967,712,56,55.25
,,,,,,,,
304,76,0,228,0,932,670,365,55.26
,,,,,,,,
355,19,97,145,12.3,967,871,28,55.45
,,,,,,,,
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.5
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
,,,,,,,,
385,0,136,158,20,903,768,28,55.55
,,,,,,,,
491,26,123,210,3.9,882,699,28,55.55
,,,,,,,,
475,118.8,0,181.1,8.9,852.1,781.5,7,55.6
,,,,,,,,
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
,,,,,,,,
397,17.2,158,167,20.8,967,633,28,55.65
,,,,,,,,
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
,,,,,,,,
525,0,0,189,0,1125,613,28,55.94
,,,,,,,,
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
,,,,,,,,
439,177,0,186,11.1,884.9,707.9,7,56.1
,,,,,,,,
342,38,0,228,0,932,670,365,56.14
,,,,,,,,
446,24,79,162,11.6,967,712,56,56.14
,,,,,,,,
387,20,94,157,14.3,938,845,56,56.34
,,,,,,,,
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.5
,,,,,,,,
331,170,0,195,8,811,802,28,56.61
,,,,,,,,
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
,,,,,,,,
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
,,,,,,,,
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
,,,,,,,,
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
,,,,,,,,
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
,,,,,,,,
528,0,0,185,6.9,920,720,28,56.83
,,,,,,,,
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
,,,,,,,,
446,24,79,162,11.6,967,712,28,57.03
,,,,,,,,
321,164,0,190,5,870,774,28,57.21
,,,,,,,,
321.3,164.2,0,190.5,4.6,870,774,28,57.22
,,,,,,,,
475,0,59,142,1.9,1098,641,28,57.23
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
,,,,,,,,
491,26,123,201,3.9,822,699,28,57.92
,,,,,,,,
475,0,0,162,9.5,1044,662,28,58.52
,,,,,,,,
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
,,,,,,,,
525,0,0,189,0,1125,613,90,58.78
,,,,,,,,
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
,,,,,,,,
356,119,0,160,9,1061,657,28,59
,,,,,,,,
389.9,189,0,145.9,22,944.7,755.8,7,59.09
,,,,,,,,
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
,,,,,,,,
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
,,,,,,,,
359,19,141,154,10.9,942,801,28,59.49
,,,,,,,,
491,26,123,210,3.9,882,699,56,59.59
,,,,,,,,
540,0,0,173,0,1125,613,14,59.76
,,,,,,,,
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
,,,,,,,,
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
,,,,,,,,
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
,,,,,,,,
520,0,0,170,5.2,855,855,28,60.28
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
,,,,,,,,
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
,,,,,,,,
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
,,,,,,,,
446,24,79,162,11.6,967,712,56,61.07
,,,,,,,,
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
,,,,,,,,
326,166,0,174,9,882,790,28,61.23
,,,,,,,,
325.6,166.4,0,174,8.9,881.6,790,28,61.24
,,,,,,,,
387,20,94,157,11.6,938,845,56,61.46
,,,,,,,,
425,106.3,0,151.4,18.6,936,803.7,28,61.8
,,,,,,,,
491,26,123,201,3.9,822,699,56,61.86
,,,,,,,,
540,0,0,162,2.5,1055,676,28,61.89
,,,,,,,,
525,0,0,189,0,1125,613,180,61.92
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
,,,,,,,,
424,22,132,178,8.5,822,750,28,62.05
,,,,,,,,
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
,,,,,,,,
359,19,141,154,10.9,942,801,28,62.94
,,,,,,,,
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
,,,,,,,,
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
,,,,,,,,
505,0,60,195,0,1030,630,28,64.02
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
,,,,,,,,
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
,,,,,,,,
425,106.3,0,151.4,18.6,936,803.7,56,64.9
,,,,,,,,
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
,,,,,,,,
424,22,132,178,8.5,822,750,56,65.7
,,,,,,,,
366,187,0,191,7,824,757,28,65.91
,,,,,,,,
366,187,0,191.3,6.6,824.3,756.9,28,65.91
,,,,,,,,
439,177,0,186,11.1,884.9,707.9,28,66
,,,,,,,,
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
,,,,,,,,
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
,,,,,,,,
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
,,,,,,,,
425,106.3,0,151.4,18.6,936,803.7,91,66.7
,,,,,,,,
359,19,141,154,10.9,942,801,56,66.78
,,,,,,,,
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
,,,,,,,,
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
,,,,,,,,
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
,,,,,,,,
525,0,0,189,0,1125,613,270,67.11
,,,,,,,,
540,0,0,173,0,1125,613,28,67.31
,,,,,,,,
500,0,0,140,4,966,853,28,67.57
,,,,,,,,
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
,,,,,,,,
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
,,,,,,,,
250,180,95,159,9.5,860,800,28,67.87
,,,,,,,,
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
,,,,,,,,
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
,,,,,,,,
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
,,,,,,,,
359,19,141,154,10.9,942,801,56,68.75
,,,,,,,,
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
,,,,,,,,
540,0,0,173,0,1125,613,90,69.66
,,,,,,,,
500,0,0,151,9,1033,655,28,69.84
,,,,,,,,
469,117.2,0,137.8,32.2,852.1,840.5,91,70.7
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
,,,,,,,,
540,0,0,173,0,1125,613,180,71.62
,,,,,,,,
439,177,0,186,11.1,884.9,707.9,56,71.7
,,,,,,,,
485,0,0,146,0,1120,800,28,71.99
,,,,,,,,
424,22,132,168,8.9,822,750,28,72.1
,,,,,,,,
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
,,,,,,,,
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
,,,,,,,,
439,177,0,186,11.1,884.9,707.9,91,73.3
,,,,,,,,
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
,,,,,,,,
540,0,0,173,0,1125,613,270,74.17
,,,,,,,,
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
,,,,,,,,
424,22,132,168,8.9,822,750,56,74.36
,,,,,,,,
389.9,189,0,145.9,22,944.7,755.8,28,74.5
,,,,,,,,
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
,,,,,,,,
522,0,0,146,0,896,896,28,74.99
,,,,,,,,
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
,,,,,,,,
275,180,120,162,10.4,830,765,28,76.24
,,,,,,,,
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.8
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
,,,,,,,,
451,0,0,165,11.3,1030,745,28,78.8
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
,,,,,,,,
389.9,189,0,145.9,22,944.7,755.8,56,79.4
,,,,,,,,
540,0,0,162,2.5,1040,676,28,79.99
,,,,,,,,
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
,,,,,,,,
315,137,0,145,5.9,1130,745,28,81.75
,,,,,,,,
389.9,189,0,145.9,22,944.7,755.8,91,82.6
